episode,timestep,reward
1,7200,-391.1091
3,14400,-373.592
5,21600,-406.3866
7,28800,-451.0173
9,36000,-424.1586
11,43200,-260.6346
13,50400,-358.1041
15,57600,-301.4064
17,64800,-410.3293
19,72000,-495.6968
21,79200,-528.5037
23,86400,-383.688
25,93600,-370.4271
27,100800,-491.6509
29,108000,-387.809
31,115200,-393.228
33,122400,-445.2701
35,129600,-201.7717
37,136800,-379.7297
39,144000,-353.5909
41,151200,-348.8558
43,158400,-391.7798
45,165600,-355.7186
47,172800,-417.315
49,180000,-368.7515
51,187200,-367.4742
53,194400,-334.9042
55,201600,-422.6578
57,208800,-358.815
59,216000,-357.3593
61,223200,-422.529
63,230400,-361.9909
65,237600,-420.5608
67,244800,-329.7608
69,252000,-423.6664
71,259200,-331.3009
73,266400,-386.5765
75,273600,-401.6057
77,280800,-394.6926
79,288000,-309.5688
81,295200,-452.0963
83,302400,-214.4744
85,309600,-379.7982
87,316800,-157.335
89,324000,-324.9753
91,331200,-272.342
93,338400,-290.8552
95,345600,-478.5905
97,352800,-289.8789
99,360000,-278.1665
101,367200,-229.5116
103,374400,-268.4821
105,381600,-345.0313
107,388800,-315.9579
109,396000,-393.8937
111,403200,-383.6407
113,410400,-287.1672
115,417600,-338.0671
117,424800,-251.7245
119,432000,-333.9541
121,439200,-387.0392
123,446400,-449.5761
125,453600,-395.1473
127,460800,-198.1005
129,468000,-322.8805
131,475200,-326.56
133,482400,-434.5616
135,489600,-293.5464
137,496800,-246.0029
139,504000,-257.488
141,511200,-125.3888
143,518400,-248.9683
145,525600,-364.848
147,532800,-324.2929
149,540000,-226.393
151,547200,-203.4192
153,554400,-253.3884
155,561600,-327.2451
157,568800,-335.0565
159,576000,-172.3672
161,583200,-249.8345
163,590400,-200.4234
165,597600,-226.1365
167,604800,-199.0936
169,612000,-193.4408
171,619200,-358.2432
173,626400,-378.0088
175,633600,-379.3912
177,640800,-223.4574
179,648000,-278.5523
181,655200,-345.3848
183,662400,-232.3087
185,669600,-106.7875
187,676800,-300.1633
